State,Month,Year,Month Number,Month Name,Actual Sales,Predicted Sales,Error,Absolute Error,Best Model,MAE,RMSE,MAPE,WAPE,Forecast Reliability
Alabama,2018-07-01,2018,7,July,0.0,16.240000000000002,-16.240000000000002,16.240000000000002,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low
Alabama,2018-08-01,2018,8,August,0.0,16.240000000000002,-16.240000000000002,16.240000000000002,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low
Alabama,2018-09-01,2018,9,September,0.0,16.240000000000002,-16.240000000000002,16.240000000000002,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low
Alabama,2018-10-01,2018,10,October,10.16,16.240000000000002,-6.080000000000002,6.080000000000002,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low
Alabama,2018-11-01,2018,11,November,239.92,16.240000000000002,223.67999999999998,223.67999999999998,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low
Alabama,2018-12-01,2018,12,December,961.24,16.240000000000002,945.0,945.0,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low
Arizona,2018-07-01,2018,7,July,1298.896,935.308,363.58799999999997,363.58799999999997,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low
Arizona,2018-08-01,2018,8,August,223.576,935.308,-711.732,711.732,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low
Arizona,2018-09-01,2018,9,September,606.533,935.308,-328.775,328.775,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low
Arizona,2018-10-01,2018,10,October,961.104,935.308,25.79600000000005,25.79600000000005,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low
Arizona,2018-11-01,2018,11,November,3192.462,935.308,2257.154,2257.154,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low
Arizona,2018-12-01,2018,12,December,1533.735,935.308,598.4269999999999,598.4269999999999,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low
Arkansas,2018-07-01,2018,7,July,0.0,117.62,-117.62,117.62,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low
Arkansas,2018-08-01,2018,8,August,0.0,117.62,-117.62,117.62,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low
Arkansas,2018-09-01,2018,9,September,939.82,117.62,822.2,822.2,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low
Arkansas,2018-10-01,2018,10,October,199.17,117.62,81.54999999999998,81.54999999999998,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low
Arkansas,2018-11-01,2018,11,November,4.3,117.62,-113.32000000000001,113.32000000000001,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low
Arkansas,2018-12-01,2018,12,December,1357.42,117.62,1239.8000000000002,1239.8000000000002,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low
California,2018-07-01,2018,7,July,12923.859,12173.245504142224,750.6134958577768,750.6134958577768,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,2018-08-01,2018,8,August,14534.322,12367.563844258146,2166.7581557418544,2166.7581557418544,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,2018-09-01,2018,9,September,18067.032,12561.882184374068,5505.149815625931,5505.149815625931,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,2018-10-01,2018,10,October,15776.301000000001,12756.20052448999,3020.100475510011,3020.100475510011,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,2018-11-01,2018,11,November,13357.371000000001,12950.518864605912,406.8521353940887,406.8521353940887,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,2018-12-01,2018,12,December,19318.023,13144.837204721836,6173.185795278165,6173.185795278165,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate
Colorado,2018-07-01,2018,7,July,0.0,578.28,-578.28,578.28,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low
Colorado,2018-08-01,2018,8,August,16.752000000000002,578.28,-561.528,561.528,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low
Colorado,2018-09-01,2018,9,September,819.212,578.28,240.93200000000002,240.93200000000002,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low
Colorado,2018-10-01,2018,10,October,646.1279999999999,578.28,67.84799999999996,67.84799999999996,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low
Colorado,2018-11-01,2018,11,November,88.768,578.28,-489.51199999999994,489.51199999999994,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low
Colorado,2018-12-01,2018,12,December,3440.093,578.28,2861.813,2861.813,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low
Connecticut,2018-07-01,2018,7,July,847.46,279.57781578947373,567.8821842105262,567.8821842105262,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low
Connecticut,2018-08-01,2018,8,August,0.0,279.57781578947373,-279.57781578947373,279.57781578947373,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low
Connecticut,2018-09-01,2018,9,September,336.24,279.57781578947373,56.66218421052628,56.66218421052628,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low
Connecticut,2018-10-01,2018,10,October,13.05,279.57781578947373,-266.5278157894737,266.5278157894737,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low
Connecticut,2018-11-01,2018,11,November,0.0,279.57781578947373,-279.57781578947373,279.57781578947373,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low
Connecticut,2018-12-01,2018,12,December,1563.65,279.57781578947373,1284.0721842105263,1284.0721842105263,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low
Delaware,2018-06-01,2018,6,June,0.0,353.5392855048883,-353.5392855048883,353.5392855048883,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low
Delaware,2018-07-01,2018,7,July,1679.153,353.5392855048883,1325.6137144951117,1325.6137144951117,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low
Delaware,2018-08-01,2018,8,August,0.0,353.5392855048883,-353.5392855048883,353.5392855048883,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low
Delaware,2018-09-01,2018,9,September,391.98,353.5392855048883,38.440714495111706,38.440714495111706,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low
Delaware,2018-10-01,2018,10,October,0.0,353.5392855048883,-353.5392855048883,353.5392855048883,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low
Delaware,2018-11-01,2018,11,November,10756.85,353.5392855048883,10403.310714495112,10403.310714495112,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low
Florida,2018-07-01,2018,7,July,379.6,1877.78125,-1498.18125,1498.18125,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low
Florida,2018-08-01,2018,8,August,4628.311999999999,1877.78125,2750.530749999999,2750.530749999999,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low
Florida,2018-09-01,2018,9,September,1976.152,1877.78125,98.37075000000004,98.37075000000004,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low
Florida,2018-10-01,2018,10,October,1773.647,1877.78125,-104.13425000000007,104.13425000000007,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low
Florida,2018-11-01,2018,11,November,5236.965999999999,1877.78125,3359.1847499999994,3359.1847499999994,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low
Florida,2018-12-01,2018,12,December,1183.3509999999999,1877.78125,-694.4302500000001,694.4302500000001,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low
Georgia,2018-06-01,2018,6,June,544.14,1091.871463414634,-547.731463414634,547.731463414634,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low
Georgia,2018-07-01,2018,7,July,372.71000000000004,1091.871463414634,-719.161463414634,719.161463414634,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low
Georgia,2018-08-01,2018,8,August,71.98,1091.871463414634,-1019.891463414634,1019.891463414634,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low
Georgia,2018-09-01,2018,9,September,2389.45,1091.871463414634,1297.5785365853658,1297.5785365853658,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low
Georgia,2018-10-01,2018,10,October,0.0,1091.871463414634,-1091.871463414634,1091.871463414634,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low
Georgia,2018-11-01,2018,11,November,74.1,1091.871463414634,-1017.771463414634,1017.771463414634,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low
Idaho,2018-07-01,2018,7,July,0.0,0.0,0.0,0.0,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low
Idaho,2018-08-01,2018,8,August,0.0,0.0,0.0,0.0,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low
Idaho,2018-09-01,2018,9,September,89.97,0.0,89.97,89.97,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low
Idaho,2018-10-01,2018,10,October,307.74,0.0,307.74,307.74,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low
Idaho,2018-11-01,2018,11,November,0.0,0.0,0.0,0.0,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low
Idaho,2018-12-01,2018,12,December,21.312,0.0,21.312,21.312,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low
Illinois,2018-07-01,2018,7,July,1521.144,2010.6315411070339,-489.48754110703385,489.48754110703385,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low
Illinois,2018-08-01,2018,8,August,516.532,2031.1629175995738,-1514.6309175995739,1514.6309175995739,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low
Illinois,2018-09-01,2018,9,September,4069.581,2051.694294092114,2017.8867059078862,2017.8867059078862,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low
Illinois,2018-10-01,2018,10,October,2092.668,2072.225670584654,20.442329415346194,20.442329415346194,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low
Illinois,2018-11-01,2018,11,November,1227.3709999999999,2092.757047077194,-865.386047077194,865.386047077194,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low
Illinois,2018-12-01,2018,12,December,3902.01,2113.288423569734,1788.7215764302664,1788.7215764302664,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low
Indiana,2018-07-01,2018,7,July,1337.71,947.2126164651393,390.4973835348608,390.4973835348608,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low
Indiana,2018-08-01,2018,8,August,2800.6600000000003,947.2126164651393,1853.447383534861,1853.447383534861,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low
Indiana,2018-09-01,2018,9,September,0.0,947.2126164651393,-947.2126164651393,947.2126164651393,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low
Indiana,2018-10-01,2018,10,October,909.12,947.2126164651393,-38.09261646513926,38.09261646513926,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low
Indiana,2018-11-01,2018,11,November,3980.31,947.2126164651393,3033.0973835348605,3033.0973835348605,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low
Indiana,2018-12-01,2018,12,December,856.38,947.2126164651393,-90.83261646513927,90.83261646513927,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low
Iowa,2018-07-01,2018,7,July,30.32,0.0,30.32,30.32,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low
Iowa,2018-08-01,2018,8,August,0.0,0.0,0.0,0.0,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low
Iowa,2018-09-01,2018,9,September,0.0,0.0,0.0,0.0,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low
Iowa,2018-10-01,2018,10,October,0.0,0.0,0.0,0.0,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low
Iowa,2018-11-01,2018,11,November,45.92,0.0,45.92,45.92,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low
Iowa,2018-12-01,2018,12,December,57.43,0.0,57.43,57.43,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low
Kansas,2018-06-01,2018,6,June,0.0,0.0,0.0,0.0,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low
Kansas,2018-07-01,2018,7,July,373.94,0.0,373.94,373.94,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low
Kansas,2018-08-01,2018,8,August,0.0,0.0,0.0,0.0,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low
Kansas,2018-09-01,2018,9,September,0.0,0.0,0.0,0.0,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low
Kansas,2018-10-01,2018,10,October,0.0,0.0,0.0,0.0,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low
Kansas,2018-11-01,2018,11,November,79.31,0.0,79.31,79.31,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low
Kentucky,2018-07-01,2018,7,July,0.0,740.5899999999999,-740.5899999999999,740.5899999999999,Last Value (Naive),1891.955,2729.3093,96.5566,86.4037,Very Low
Kentucky,2018-08-01,2018,8,August,214.85000000000002,740.5899999999999,-525.7399999999999,525.7399999999999,Last Value (Naive),1891.955,2729.3093,96.5566,86.4037,Very Low
Kentucky,2018-09-01,2018,9,September,1787.8200000000002,740.5899999999999,1047.2300000000002,1047.2300000000002,Last Value (Naive),1891.955,2729.3093,96.5566,86.4037,Very Low
