State,Model,MAE,RMSE,MAPE,WAPE,Forecast Reliability,Is Best Model,Training Months,Testing Months,Training Start,Training End,Testing Start,Testing End
Alabama,Historical Average,431.3356,440.8097,1554.9996,213.6523,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low,True,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Three Month Moving Average,260.7844,350.8214,613.9291,129.1737,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Six Month Moving Average,232.7739,364.23,352.8236,115.2993,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Simple Exponential Smoothing,431.334,440.8083,1554.9918,213.6516,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Holt Linear Trend,412.4466,424.7456,1451.099,204.2961,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Holt Damped Trend,423.8482,434.0912,1516.9693,209.9436,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Historical Average,808.1071,1148.7387,69.7879,62.0324,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Three Month Moving Average,767.7952,1085.0128,76.5318,58.938,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Six Month Moving Average,860.6493,1209.5507,67.1118,66.0657,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Simple Exponential Smoothing,808.1071,1148.7388,69.7879,62.0324,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Holt Linear Trend,988.4203,1340.724,69.5986,75.8737,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Holt Damped Trend,783.0271,1107.9722,73.9821,60.1072,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Historical Average,421.7983,571.4247,1287.9976,101.2029,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Three Month Moving Average,415.3517,646.3244,363.2471,99.6561,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Six Month Moving Average,415.3517,658.3039,244.632,99.6561,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Simple Exponential Smoothing,415.3517,607.5125,787.4609,99.6561,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Holt Linear Trend,416.785,678.9131,100.0,100.0,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Holt Damped Trend,415.392,616.255,685.1952,99.6658,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Historical Average,7274.0191,7645.3935,45.2568,46.4413,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Last Value (Naive),6650.7325,7054.9934,41.1894,42.4619,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Three Month Moving Average,6425.9888,6843.5386,39.7228,41.027,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Six Month Moving Average,7214.5079,7588.7952,44.8685,46.0614,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Simple Exponential Smoothing,6090.8452,6529.861,37.5357,38.8873,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
California,Holt Damped Trend,5120.9,5623.0466,31.2353,32.6946,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Historical Average,808.1982,1218.4825,932.4341,96.7718,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low,True,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Three Month Moving Average,1054.3664,1239.1779,1576.5389,126.2474,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Six Month Moving Average,869.5766,1207.3435,1169.4247,104.1211,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Simple Exponential Smoothing,808.1981,1218.4826,932.4337,96.7718,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Holt Linear Trend,1013.756,1210.6617,1493.6087,121.3848,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Holt Damped Trend,854.1702,1207.4423,1128.5026,102.2764,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low,True,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Last Value (Naive),578.6467,628.0249,1370.9818,125.7745,Very Low,False,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Three Month Moving Average,466.7533,585.3527,718.2278,101.4534,Very Low,False,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Six Month Moving Average,485.1261,579.3751,825.4094,105.4469,Very Low,False,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Simple Exponential Smoothing,455.7167,605.7925,552.0846,99.0545,Very Low,False,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Holt Linear Trend,481.7547,577.305,811.5887,104.7141,Very Low,False,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Holt Damped Trend,478.4651,578.5735,791.5021,103.9991,Very Low,False,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Delaware,Historical Average,2137.9972,4288.7959,61.8221,100.0,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Last Value (Naive),2137.9972,4311.5508,67.6553,100.0,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
