State,Month,Year,Month Number,Month Name,Monthly Sales
Alabama,2015-04-01,2015,4,April,1224.88
Alabama,2015-05-01,2015,5,May,180.93
Alabama,2015-06-01,2015,6,June,0.0
Alabama,2015-07-01,2015,7,July,0.0
Alabama,2015-08-01,2015,8,August,0.0
Alabama,2015-09-01,2015,9,September,0.0
Alabama,2015-10-01,2015,10,October,2216.8
Alabama,2015-11-01,2015,11,November,14.67
Alabama,2015-12-01,2015,12,December,2501.81
Alabama,2016-01-01,2016,1,January,0.0
Alabama,2016-02-01,2016,2,February,0.0
Alabama,2016-03-01,2016,3,March,518.49
Alabama,2016-04-01,2016,4,April,0.0
Alabama,2016-05-01,2016,5,May,0.0
Alabama,2016-06-01,2016,6,June,976.29
Alabama,2016-07-01,2016,7,July,457.03999999999996
Alabama,2016-08-01,2016,8,August,0.0
Alabama,2016-09-01,2016,9,September,1940.1499999999999
Alabama,2016-10-01,2016,10,October,0.0
Alabama,2016-11-01,2016,11,November,0.0
Alabama,2016-12-01,2016,12,December,0.0
Alabama,2017-01-01,2017,1,January,0.0
Alabama,2017-02-01,2017,2,February,0.0
Alabama,2017-03-01,2017,3,March,0.0
Alabama,2017-04-01,2017,4,April,0.0
Alabama,2017-05-01,2017,5,May,1007.6800000000001
Alabama,2017-06-01,2017,6,June,224.9
Alabama,2017-07-01,2017,7,July,29.0
Alabama,2017-08-01,2017,8,August,197.05
Alabama,2017-09-01,2017,9,September,1562.97
Alabama,2017-10-01,2017,10,October,0.0
Alabama,2017-11-01,2017,11,November,4629.73
Alabama,2017-12-01,2017,12,December,0.0
Alabama,2018-01-01,2018,1,January,56.370000000000005
Alabama,2018-02-01,2018,2,February,0.0
Alabama,2018-03-01,2018,3,March,0.0
Alabama,2018-04-01,2018,4,April,518.16
Alabama,2018-05-01,2018,5,May,26.16
Alabama,2018-06-01,2018,6,June,16.240000000000002
Alabama,2018-07-01,2018,7,July,0.0
Alabama,2018-08-01,2018,8,August,0.0
Alabama,2018-09-01,2018,9,September,0.0
Alabama,2018-10-01,2018,10,October,10.16
Alabama,2018-11-01,2018,11,November,239.92
Alabama,2018-12-01,2018,12,December,961.24
Arizona,2015-01-01,2015,1,January,378.594
Arizona,2015-02-01,2015,2,February,0.0
Arizona,2015-03-01,2015,3,March,388.70399999999995
Arizona,2015-04-01,2015,4,April,71.168
Arizona,2015-05-01,2015,5,May,0.0
Arizona,2015-06-01,2015,6,June,12.498000000000001
Arizona,2015-07-01,2015,7,July,1835.432
Arizona,2015-08-01,2015,8,August,324.185
Arizona,2015-09-01,2015,9,September,153.315
Arizona,2015-10-01,2015,10,October,1387.352
Arizona,2015-11-01,2015,11,November,173.704
Arizona,2015-12-01,2015,12,December,3570.283
Arizona,2016-01-01,2016,1,January,0.0
Arizona,2016-02-01,2016,2,February,0.0
Arizona,2016-03-01,2016,3,March,0.0
Arizona,2016-04-01,2016,4,April,184.464
Arizona,2016-05-01,2016,5,May,332.954
Arizona,2016-06-01,2016,6,June,1225.5639999999999
Arizona,2016-07-01,2016,7,July,1525.824
Arizona,2016-08-01,2016,8,August,2529.768
Arizona,2016-09-01,2016,9,September,1371.587
Arizona,2016-10-01,2016,10,October,174.304
Arizona,2016-11-01,2016,11,November,376.977
Arizona,2016-12-01,2016,12,December,1889.768
Arizona,2017-01-01,2017,1,January,0.0
Arizona,2017-02-01,2017,2,February,14.368
Arizona,2017-03-01,2017,3,March,475.50199999999995
Arizona,2017-04-01,2017,4,April,2738.427
Arizona,2017-05-01,2017,5,May,185.528
Arizona,2017-06-01,2017,6,June,0.0
Arizona,2017-07-01,2017,7,July,532.28
Arizona,2017-08-01,2017,8,August,0.0
Arizona,2017-09-01,2017,9,September,436.877
Arizona,2017-10-01,2017,10,October,533.688
Arizona,2017-11-01,2017,11,November,354.422
Arizona,2017-12-01,2017,12,December,970.927
Arizona,2018-01-01,2018,1,January,100.922
Arizona,2018-02-01,2018,2,February,882.99
Arizona,2018-03-01,2018,3,March,0.0
Arizona,2018-04-01,2018,4,April,560.896
Arizona,2018-05-01,2018,5,May,827.7710000000001
Arizona,2018-06-01,2018,6,June,935.308
Arizona,2018-07-01,2018,7,July,1298.896
Arizona,2018-08-01,2018,8,August,223.576
Arizona,2018-09-01,2018,9,September,606.533
Arizona,2018-10-01,2018,10,October,961.104
Arizona,2018-11-01,2018,11,November,3192.462
Arizona,2018-12-01,2018,12,December,1533.735
Arkansas,2015-01-01,2015,1,January,1859.4
Arkansas,2015-02-01,2015,2,February,0.0
Arkansas,2015-03-01,2015,3,March,0.0
