State,Best Model,MAE,RMSE,MAPE,WAPE,Forecast Reliability,Total Monthly Observations,Training Months,Testing Months,Training Start,Training End,Testing Start,Testing End
California,Holt Linear Trend,3003.7766,3718.4158,17.5552,19.1778,Moderate,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Texas,Holt Linear Trend,1403.2429,1892.2913,38.9761,35.8687,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Ohio,Holt Linear Trend,1175.4891,1321.6043,72.3822,47.9701,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Washington,Six Month Moving Average,3194.4387,4044.3213,59.5457,51.1553,Very Low,47,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Pennsylvania,Holt Linear Trend,2830.2514,3724.792,43.4325,53.0101,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Arizona,Last Value (Naive),714.2453,1016.5609,85.4903,54.8273,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Florida,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low,47,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
New York,Last Value (Naive),6980.6332,7951.6992,94.9625,57.0605,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Tennessee,Three Month Moving Average,1164.4164,1470.2183,39.7869,58.6304,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
New Mexico,Last Value (Naive),188.3787,245.5011,42.1871,62.4393,Very Low,46,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low,47,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Historical Average,635.7745,737.2112,114.8574,66.5513,Very Low,46,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Wisconsin,Six Month Moving Average,422.0506,695.0186,134.5985,71.2865,Very Low,47,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Historical Average,1073.2543,1401.5883,126.405,81.6966,Very Low,45,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Virginia,Three Month Moving Average,693.4083,884.7397,145.1331,86.1628,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Last Value (Naive),1891.955,2729.3093,96.5566,86.4037,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
North Carolina,Holt Linear Trend,2824.5709,5385.9156,289.843,88.9291,Very Low,46,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Rhode Island,Holt Linear Trend,487.6126,770.2045,50.2099,91.8712,Very Low,39,33,6,2015-10-01,2018-06-01,2018-07-01,2018-12-01
New Jersey,Historical Average,822.59,925.1406,2199.238,94.249,Very Low,47,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Last Value (Naive),1542.66,1877.5849,498.4803,94.7945,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Colorado,Last Value (Naive),799.9855,1234.3668,805.3115,95.7884,Very Low,46,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Maryland,Six Month Moving Average,1221.865,1962.3391,203.4858,96.1295,Very Low,44,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
New Hampshire,Holt Linear Trend,241.8842,390.8382,65.4696,96.1492,Very Low,41,35,6,2015-05-01,2018-03-01,2018-04-01,2018-09-01
Utah,Holt Linear Trend,396.0547,888.2733,117.079,96.5737,Very Low,45,39,6,2015-03-01,2018-05-01,2018-06-01,2018-11-01
Oklahoma,Three Month Moving Average,583.2133,944.6848,382.3449,97.2779,Very Low,43,37,6,2015-06-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Six Month Moving Average,347.6567,484.1185,337.7029,98.8925,Very Low,46,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Connecticut,Historical Average,455.7167,605.7924,552.0851,99.0545,Very Low,44,38,6,2015-05-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Last Value (Naive),574.985,1310.2623,124.5399,99.0832,Very Low,42,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Arkansas,Last Value (Naive),415.3517,613.7695,713.7784,99.6561,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Delaware,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low,47,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Idaho,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low,45,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low,46,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Kansas,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low,39,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Louisiana,Three Month Moving Average,869.755,1216.5103,94.8121,100.0,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Maine,Last Value (Naive),91.2217,223.4465,100.0,100.0,Very Low,26,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Missouri,Last Value (Naive),622.5183,1134.2436,100.0,100.0,Very Low,47,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Montana,Last Value (Naive),6.65,16.2891,100.0,100.0,Very Low,42,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
South Carolina,Last Value (Naive),188.4733,325.749,100.0,100.0,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
South Dakota,Last Value (Naive),192.235,460.585,100.0,100.0,Very Low,47,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Vermont,Last Value (Naive),34.1717,83.7031,100.0,100.0,Very Low,26,20,6,2016-11-01,2018-06-01,2018-07-01,2018-12-01
Alabama,Last Value (Naive),203.9133,396.6287,83.7947,101.0039,Very Low,45,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Oregon,Three Month Moving Average,409.0437,548.1305,3423.9678,105.0561,Very Low,47,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Nevada,Last Value (Naive),328.7947,654.3376,95.4605,118.1581,Very Low,48,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Georgia,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low,47,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
